
Date de consommation;Consommation (kWh);Nature de la donnee
19/11/2023;20;Recalculee
17/11/2023;18;Recalculee
16/11/2023;13;Reelle
15/11/2023;14;Reelle
14/11/2023;14;Reelle
13/11/2023;19;Reelle
12/11/2023;21;Reelle
22/11/2021;26;Reelle
21/11/2021;24;Reelle
20/11/2021;20;Reelle
19/11/2021;26;Reelle
18/11/2021;30;Reelle
17/11/2021;27;Reelle
16/11/2021;29;Reelle
15/11/2021;27;Reelle
14/11/2021;25;Reelle
13/11/2021;17;Reelle
12/11/2021;28;Reelle
11/11/2021;31;Reelle
10/11/2021;29;Reelle
09/11/2021;30;Reelle
08/11/2021;21;Reelle
07/11/2021;29;Reelle
06/11/2021;32;Reelle
05/11/2021;24;Reelle
04/11/2021;28;Reelle
03/11/2021;28;Reelle
02/11/2021;19;Reelle
01/11/2021;19;Reelle
31/10/2021;16;Reelle
30/10/2021;15;Reelle
29/10/2021;13;Reelle
28/10/2021;18;Reelle
27/10/2021;22;Reelle
26/10/2021;16;Reelle
25/10/2021;22;Reelle
24/10/2021;20;Reelle
23/10/2021;17;Reelle
22/10/2021;13;Reelle
21/10/2021;12;Reelle
20/10/2021;18;Reelle
19/10/2021;13;Reelle
18/10/2021;13;Reelle
17/10/2021;25;Reelle

27/03/2021;28;Reelle
26/03/2021;25;Reelle
25/03/2021;24;Reelle
24/03/2021;28;Reelle
23/03/2021;31;Reelle
22/03/2021;26;Reelle
21/03/2021;36;Reelle
20/03/2021;38;Reelle
19/03/2021;37;Reelle
18/03/2021;35;Reelle
17/03/2021;27;Reelle
16/03/2021;36;Reelle
15/03/2021;35;Reelle
14/03/2021;25;Reelle
13/03/2021;18;Reelle
12/03/2021;25;Reelle
11/12/2020;20;Reelle
10/12/2020;26;Reelle
09/12/2020;31;Reelle
08/12/2020;33;Reelle
07/12/2020;30;Reelle
06/12/2020;31;Reelle
05/12/2020;33;Reelle
04/12/2020;28;Reelle
03/12/2020;24;Reelle
02/12/2020;33;Reelle
01/12/2020;24;Reelle
30/11/2020;23;Reelle
29/11/2020;26;Reelle
28/11/2020;23;Reelle
27/11/2020;22;Reelle
26/11/2020;22;Reelle
25/11/2020;20;Reelle

